1,Alice Johnson,alice.johnson@example.com,29,New York,Engineering,92000,2021-03-15,true
2,Bob Smith,bob.smith@example.com,34,San Francisco,Marketing,78000,2019-07-22,true
3,Carol White,carol.white@example.com,41,Chicago,Finance,105000,2017-01-10,true
4,David Brown,david.brown@example.com,26,Austin,Engineering,88000,2022-06-01,true
5,Eva Martinez,eva.martinez@example.com,38,Miami,HR,67000,2018-11-05,false
6,Frank Lee,frank.lee@example.com,45,Seattle,Engineering,115000,2015-09-18,true
7,Grace Kim,grace.kim@example.com,31,Boston,Design,82000,2020-04-27,true
8,Henry Clark,henry.clark@example.com,52,Dallas,Finance,121000,2013-02-14,false
9,Isla Davis,isla.davis@example.com,27,Denver,Marketing,71000,2023-01-09,true
10,James Wilson,james.wilson@example.com,36,Atlanta,HR,69000,2019-10-30,true
